SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating,TaskType_Brainstorming,TaskType_Coding,TaskType_Homework Help,TaskType_Research,TaskType_Studying,TaskType_Writing
SESSION00001,2,Computer Science,2024-11-03,31.2,11,2,3,1,1.0,False,False,False,False,True,False
SESSION00002,2,Psychology,2024-08-25,13.09,6,3,3,1,2.0,False,False,False,False,True,False
SESSION00003,2,Business,2025-01-12,19.22,5,3,3,1,3.3,False,True,False,False,False,False
SESSION00004,2,Computer Science,2025-05-06,3.7,1,3,3,1,3.5,False,True,False,False,False,False
SESSION00005,2,Psychology,2025-03-18,28.12,9,3,3,1,2.9,False,False,False,False,False,True
SESSION00006,3,Business,2025-01-17,7.54,1,5,2,1,5.0,False,True,False,False,False,False
SESSION00007,1,Biology,2024-09-07,14.6,3,3,3,0,1.9,False,False,False,False,False,True
SESSION00008,2,Biology,2024-12-26,9.2,3,5,3,1,3.9,False,False,False,False,False,True
SESSION00009,2,Business,2025-06-18,8.15,1,3,3,1,3.3,True,False,False,False,False,False
SESSION00010,2,Math,2025-04-14,5.57,1,3,3,0,1.4,False,False,False,False,True,False
SESSION00011,1,Math,2025-02-24,24.52,6,2,3,0,1.9,False,False,False,False,False,True
SESSION00012,2,Psychology,2024-11-07,11.51,5,3,3,0,3.9,False,True,False,False,False,False
SESSION00013,2,History,2024-07-05,15.47,6,5,2,1,4.9,False,False,False,False,True,False
SESSION00014,2,Business,2024-11-03,24.13,5,4,2,1,3.7,False,False,False,False,False,True
SESSION00015,1,Computer Science,2025-05-21,22.51,8,3,3,1,4.9,False,False,False,False,False,True
SESSION00016,1,Psychology,2024-11-22,22.16,6,2,2,1,2.8,False,True,False,False,False,False
SESSION00017,2,Business,2025-04-27,6.46,2,5,1,1,5.0,False,False,False,False,False,True
SESSION00018,1,Biology,2025-04-13,18.36,4,2,1,0,1.2,False,False,False,False,True,False
SESSION00019,2,Math,2024-12-08,18.26,4,5,3,0,4.9,False,False,False,False,True,False
SESSION00020,1,Engineering,2024-08-03,19.36,6,4,3,1,3.5,False,False,False,False,True,False
SESSION00021,2,Engineering,2025-05-03,26.79,11,3,2,1,4.4,True,False,False,False,False,False
SESSION00022,2,Business,2025-01-09,11.11,2,5,3,0,4.9,False,False,True,False,False,False
SESSION00023,2,Biology,2025-04-21,19.87,8,2,2,1,3.1,False,False,False,False,True,False
SESSION00024,2,Math,2025-05-05,17.65,4,3,0,0,3.6,False,True,False,False,False,False
SESSION00025,3,Psychology,2024-11-27,8.1,3,5,2,1,4.3,False,False,True,False,False,False
SESSION00026,2,Biology,2024-09-14,11.86,2,2,2,1,3.2,False,False,False,False,False,True
SESSION00027,2,History,2024-08-28,6.42,2,4,2,1,4.0,False,False,True,False,False,False
SESSION00028,1,Math,2024-09-05,27.55,7,3,1,1,3.5,False,False,False,False,False,True
SESSION00029,2,Psychology,2025-02-20,27.28,6,2,1,0,3.4,False,False,False,False,True,False
