SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating
SESSION00001,Undergraduate,Computer Science,2024-11-03,31.2,11,Studying,2,Assignment Completed,1,1.0
SESSION00002,Undergraduate,Psychology,2024-08-25,13.09,6,Studying,3,Assignment Completed,1,2.0
SESSION00003,Undergraduate,Business,2025-01-12,19.22,5,Coding,3,Assignment Completed,1,3.3
SESSION00004,Undergraduate,Computer Science,2025-05-06,3.7,1,Coding,3,Assignment Completed,1,3.5
SESSION00005,Undergraduate,Psychology,2025-03-18,28.12,9,Writing,3,Assignment Completed,1,2.9
SESSION00006,Graduate,Business,2025-01-17,7.54,1,Coding,5,Idea Drafted,1,5.0
SESSION00007,High School,Biology,2024-09-07,14.6,3,Writing,3,Assignment Completed,0,1.9
SESSION00008,Undergraduate,Biology,2024-12-26,9.2,3,Writing,5,Assignment Completed,1,3.9
SESSION00009,Undergraduate,Business,2025-06-18,8.15,1,Brainstorming,3,Assignment Completed,1,3.3
SESSION00010,Undergraduate,Math,2025-04-14,5.57,1,Studying,3,Assignment Completed,0,1.4
SESSION00011,High School,Math,2025-02-24,24.52,6,Writing,2,Assignment Completed,0,1.9
SESSION00012,Undergraduate,Psychology,2024-11-07,11.51,5,Coding,3,Assignment Completed,0,3.9
SESSION00013,Undergraduate,History,2024-07-05,15.47,6,Studying,5,Idea Drafted,1,4.9
SESSION00014,Undergraduate,Business,2024-11-03,24.13,5,Writing,4,Idea Drafted,1,3.7
SESSION00015,High School,Computer Science,2025-05-21,22.51,8,Writing,3,Assignment Completed,1,4.9
SESSION00016,High School,Psychology,2024-11-22,22.16,6,Coding,2,Idea Drafted,1,2.8
SESSION00017,Undergraduate,Business,2025-04-27,6.46,2,Writing,5,Confused,1,5.0
SESSION00018,High School,Biology,2025-04-13,18.36,4,Studying,2,Confused,0,1.2
SESSION00019,Undergraduate,Math,2024-12-08,18.26,4,Studying,5,Assignment Completed,0,4.9
SESSION00020,High School,Engineering,2024-08-03,19.36,6,Studying,4,Assignment Completed,1,3.5
SESSION00021,Undergraduate,Engineering,2025-05-03,26.79,11,Brainstorming,3,Idea Drafted,1,4.4
SESSION00022,Undergraduate,Business,2025-01-09,11.11,2,Homework Help,5,Assignment Completed,0,4.9
SESSION00023,Undergraduate,Biology,2025-04-21,19.87,8,Studying,2,Idea Drafted,1,3.1
SESSION00024,Undergraduate,Math,2025-05-05,17.65,4,Coding,3,Gave Up,0,3.6
SESSION00025,Graduate,Psychology,2024-11-27,8.1,3,Homework Help,5,Idea Drafted,1,4.3
SESSION00026,Undergraduate,Biology,2024-09-14,11.86,2,Writing,2,Idea Drafted,1,3.2
SESSION00027,Undergraduate,History,2024-08-28,6.42,2,Homework Help,4,Idea Drafted,1,4.0
SESSION00028,High School,Math,2024-09-05,27.55,7,Writing,3,Confused,1,3.5
SESSION00029,Undergraduate,Psychology,2025-02-20,27.28,6,Studying,2,Confused,0,3.4
SESSION00030,Undergraduate,Engineering,2025-02-26,5.03,2,Studying,3,Confused,0,2.5
SESSION00031,High School,Biology,2024-12-28,23.79,6,Studying,3,Gave Up,0,2.4
SESSION00032,Undergraduate,Computer Science,2025-04-20,19.04,7,Studying,3,Idea Drafted,0,3.3
SESSION00033,High School,Psychology,2025-02-06,22.89,10,Coding,3,Idea Drafted,1,2.6
SESSION00034,Undergraduate,Business,2025-04-10,10.59,4,Writing,3,Gave Up,0,3.9
SESSION00035,Undergraduate,Math,2025-03-21,25.1,7,Coding,4,Confused,1,4.3
